,Index,ID,Country,Gender,Education,Region,Profession,Work_status,Household_members,Income_level,Location_of_residence,Centre_or_suburbs,Public_transport_service,Car_driving_license,Number_vehicles_in_household,Considering_electric_or_hybrid_vehicle_next_purchase,Know_what_car_sharing_is,Would_subscribe_car_sharing_if_available,Most_frequent_trip_Walk,Most_frequent_trip_Bicycle,Most_frequent_trip_Car_as_Driver,Most_frequent_trip_Car_as_Passenger,Most_frequent_trip_Train,Most_frequent_trip_Underground_or_light_train,Most_frequent_trip_Tram,Most_frequent_trip_Bus,Most_frequent_trip_Motorcycle_or_moped,Destination_most_frequent_trip,Frequency_most_frequent_trip,Transfers_between_modes_during_frequent_trip,Frequent_trip_distance,Concern_environmental_impacts,Preference_tolls_or_traffic_limitation,New_frq_trip_dur,Age,Would_subsribe_car_sharing_if_available_new,Education_DNA,Income_level_DNA,Profession_DNA,Age_DNA,Considering_electric_or_hybrid_vehicle_next_purchase_DNA,Concern_environmental_impacts_DNA,Country_DNA,sha_ind,sha_ind_norm
1338,1469,"1,474",Slovakia,Female,Upper secondary (high school or similar);,PresovskÃ½ kraj,housewife,Not Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,No,0,Probably not,No,"No, I would not be interested in this service",Yes,Yes,No,No,Yes,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip once per week or less,Don't know/ No answer,3-5 KM,7,Probably more acceptable to limit road traffic,15-30 min,31-40,0,0.2069787234042553,0.2103583345422892,0.1844135802469135,0.2217081850533807,0.1444071809035312,0.1982758620689655,0.2243303571428571,0.1986388890517418,0.4242029503387787
1354,1486,"1,491",Estonia,Male,"Tertiary and higher (University degree, PhD or similar degrees).",PÃµhja-Eesti,middle manager,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,1,Maybe yes maybe not,No,"No, I would not be interested in this service",Yes,No,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,less than 3 KM,3,No preferences,less than 15 min,21-30,0,0.2290959252971137,0.2103583345422892,0.2343283582089552,0.2346829640947288,0.2027115108851518,0.1602300739523418,0.1204690831556503,0.1988394643051758,0.4254850569187962
1367,1503,"1,508",Portugal,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Norte,other employed worker,Employed,three,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Well served by public transport,Yes,2,Probably yes,Yes,Yes I'm already client of a car sharing service,No,No,Yes,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,9,Definitely more acceptable to pay for less congestion,15-30 min,21-30,2,0.2290959252971137,0.2103583345422892,0.1921047488762947,0.2346829640947288,0.2870708546384222,0.299515106303618,0.2780040733197556,0.2472617152960317,0.735007221551403
1370,1506,"1,511",Italy,Male,Lower secondary (upper elementary school or similar);,Lazio,office worker,Employed,three,lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Probably not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,Yes,No,Yes,No,No,No,Â…It is outside an urban area,Make this trip 2-3 days per week,Three,31-50 KM,3,Probably more acceptable to limit road traffic,60-90 min,21-30,1,0.178237650200267,0.1964838027022627,0.1989212513484358,0.2346829640947288,0.1444071809035312,0.1602300739523418,0.2929606625258799,0.2008462265324924,0.4383125768252807
1372,1508,"1,513",Bulgaria,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Yuzhen tsentralen,housewife,Not Employed,more than five,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,No,2,Probably not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,Yes,No,No,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,3-5 KM,8,Probably more acceptable to pay for less congestion,less than 15 min,31-40,1,0.2290959252971137,0.2103583345422892,0.1844135802469135,0.2217081850533807,0.1444071809035312,0.2356572258533043,0.3599585062240664,0.2265141340172284,0.6023856243125871
1374,1510,"1,515",Germany,Female,Lower secondary (upper elementary school or similar);,Oberbayern,housewife,Not Employed,four,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Relatively served by public transport,No,1,Probably not,Yes,"No, I would not be interested in this service",Yes,No,No,Yes,No,Yes,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip once per week or less,One,less than 3 KM,4,Definitely more acceptable to limit road traffic,30-60 min,21-30,0,0.178237650200267,0.2103583345422892,0.1844135802469135,0.2346829640947288,0.1444071809035312,0.1632140615191462,0.1866383881230116,0.1859931656614125,0.3433696227460761
1376,1512,"1,517",Belgium,Male,Upper secondary (high school or similar);,Prov. Antwerpen,office worker,Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,2,Probably not,No,"No, I would not be interested in this service",No,Yes,Yes,No,No,No,No,No,No,Â…It is outside an urban area,Make this trip every day/ every working day of the week,Don't know/ No answer,11-20 KM,6,No preferences,15-30 min,21-30,0,0.2069787234042553,0.2103583345422892,0.1989212513484358,0.2346829640947288,0.1444071809035312,0.1392904073587385,0.132752992383025,0.1810559791478577,0.3118103989264527
1379,1515,"1,520",Sweden,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Ã–stra Mellansverige,office worker,Employed,four,higher middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,2,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,3-5 KM,8,Probably more acceptable to pay for less congestion,less than 15 min,41-50,1,0.2290959252971137,0.2489236790606653,0.1989212513484358,0.1833333333333333,0.2027115108851518,0.2356572258533043,0.1263736263736263,0.2035737931645186,0.4557475847162571
1380,1516,"1,521",Czech Republic,Male,Upper secondary (high school or similar);,SeverozÃ¡pad,middle manager,Employed,more than five,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,2,Certainly not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,Yes,No,No,No,No,No,Â…It is outside an urban area,Make this trip every day/ every working day of the week,Two,21-30 KM,5,Definitely more acceptable to limit road traffic,30-60 min,41-50,1,0.2069787234042553,0.1964838027022627,0.2343283582089552,0.1833333333333333,0.1095890410958904,0.1648418491484184,0.2184782608695652,0.1877190526803829,0.3544017469264229
1382,1518,"1,523",Germany,Male,Lower secondary (upper elementary school or similar);,Bremen,manual worker/agricultural worker/farmer,Employed,one  (myself),lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Well served by public transport,Yes,1,Probably yes,Yes,Yes without any influence on my car ownership,No,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,9,No preferences,15-30 min,41-50,2,0.178237650200267,0.1964838027022627,0.2166193181818181,0.1833333333333333,0.2870708546384222,0.299515106303618,0.1866383881230116,0.2211283504975333,0.5679589023170841
1384,1520,"1,525",Spain,Female,Upper secondary (high school or similar);,AndalucÃ­a,other employed worker,Employed,five,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,3,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,Yes,No,No,No,No,No,Â…It is outside an urban area,Make this trip 2-3 days per week,Two,more than 50 KM,8,Probably more acceptable to pay for less congestion,15-30 min,21-30,1,0.2069787234042553,0.1964838027022627,0.1921047488762947,0.2346829640947288,0.2870708546384222,0.2356572258533043,0.2458158995815899,0.2283991741644082,0.6144350787438702
1390,1526,"1,531",Czech Republic,Male,Upper secondary (high school or similar);,Moravskoslezsko,middle manager,Employed,two,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Probably not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,No,No,No,Yes,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,31-50 KM,8,Definitely more acceptable to limit road traffic,30-60 min,41-50,1,0.2069787234042553,0.2103583345422892,0.2343283582089552,0.1833333333333333,0.1444071809035312,0.2356572258533043,0.2184782608695652,0.204791631016462,0.4635321837464881
1391,1527,"1,532",Portugal,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Lisboa,registered freelance professional,Employed,four,lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Relatively served by public transport,Yes,2,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,No,Yes,Yes,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,21-30 KM,8,Definitely more acceptable to limit road traffic,30-60 min,31-40,1,0.2290959252971137,0.1964838027022627,0.2731152204836415,0.2217081850533807,0.2870708546384222,0.2356572258533043,0.2780040733197556,0.2458764696211258,0.7261525270448257
1392,1528,"1,533",Great Britain,Female,Upper secondary (high school or similar);,Merseyside,other employed worker,Employed,three,lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Certainly not,Yes,"No, I would not be interested in this service",No,No,Yes,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,6-10 KM,5,Probably more acceptable to limit road traffic,less than 15 min,41-50,0,0.2069787234042553,0.1964838027022627,0.1921047488762947,0.1833333333333333,0.1095890410958904,0.1648418491484184,0.1321776814734561,0.1693584542905587,0.2370380960990059
1393,1529,"1,534",Poland,Female,Upper secondary (high school or similar);,Kujawsko-Pomorskie,retired,Not Employed,three,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Maybe yes maybe not,No,"No, I would not be interested in this service",No,No,No,Yes,No,No,No,Yes,No,Â…It is outside an urban area,Make this trip once per week or less,Don't know/ No answer,11-20 KM,6,Probably more acceptable to pay for less congestion,15-30 min,21-30,0,0.2069787234042553,0.2103583345422892,0.1685082872928177,0.2346829640947288,0.2027115108851518,0.1392904073587385,0.3314855875831485,0.2134308307373043,0.5187552215766271
1398,1534,"1,539",France,Male,Primary (elementary school or similar);,ÃŽle de France,unemployed,Not Employed,two,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,1,Don't know/no answer,No,Yes I'm already client of a car sharing service,No,No,Yes,No,No,Yes,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,More than three,11-20 KM,8,Definitely more acceptable to pay for less congestion,60-90 min,31-40,2,0.1596180081855388,0.2103583345422892,0.2050105857445307,0.2217081850533807,0.0925449871465295,0.2356572258533043,0.254071661237785,0.1969955696804798,0.41369861073111
1400,1536,"1,541",Croatia,Female,Upper secondary (high school or similar);,Primorsko-goranska zupanija,unemployed,Not Employed,two,lower middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,1,Maybe yes maybe not,Yes,"Yes, instead of purchasing a new car",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,One,3-5 KM,8,Probably more acceptable to limit road traffic,15-30 min,31-40,2,0.2069787234042553,0.1964838027022627,0.2050105857445307,0.2217081850533807,0.2027115108851518,0.2356572258533043,0.2760416666666667,0.2206559571870789,0.5649392946570144
1407,1543,"1,548",Slovenia,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Spodnjeposavska,registered freelance professional,Employed,five,high,Small or medium town (less than 250.000 inhabitants),in the suburbs,Difficult to reach with public transport,Yes,3,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,No,Yes,No,No,Yes,Yes,Â…It is outside an urban area,Make this trip every day/ every working day of the week,Three,more than 50 KM,10,No preferences,more than 120 min,less than 20,1,0.2290959252971137,0.3636363636363636,0.2731152204836415,0.2561094819159335,0.2870708546384222,0.3167848699763593,0.2700729927007299,0.2851265298069377,0.9770446962867468
1408,1544,"1,549",Germany,Female,Lower secondary (upper elementary school or similar);,Berlin,office worker,Employed,one  (myself),lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,No,0,Probably yes,Yes,Yes I'm already client of a car sharing service,Yes,No,No,No,No,Yes,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,8,Probably more acceptable to limit road traffic,30-60 min,51-60,2,0.178237650200267,0.1964838027022627,0.1989212513484358,0.1924233313289236,0.2870708546384222,0.2356572258533043,0.1866383881230116,0.2107760720278038,0.501785612656608
1410,1546,"1,551",Italy,Female,Upper secondary (high school or similar);,Emilia-Romagna,housewife,Not Employed,three,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,1,Probably yes,Yes,"Yes, instead of purchasing a new car",No,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip once per week or less,Don't know/ No answer,3-5 KM,9,Probably more acceptable to limit road traffic,less than 15 min,31-40,2,0.2069787234042553,0.1964838027022627,0.1844135802469135,0.2217081850533807,0.2870708546384222,0.299515106303618,0.2929606625258799,0.2413044164106761,0.6969272891106972
1412,1548,"1,553",Italy,Male,Upper secondary (high school or similar);,Marche,student,Not Employed,four,lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,2,Maybe yes maybe not,Yes,Yes without any influence on my car ownership,Yes,No,No,Yes,No,No,No,No,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,One,3-5 KM,8,No preferences,less than 15 min,21-30,2,0.2069787234042553,0.1964838027022627,0.2434696895022178,0.2346829640947288,0.2027115108851518,0.2356572258533043,0.2929606625258799,0.2304206541382572,0.6273566766552385
1429,1565,"1,570",Italy,Female,Upper secondary (high school or similar);,Veneto,unemployed,Not Employed,three,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,1,Certainly yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,Yes,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,3-5 KM,10,Definitely more acceptable to limit road traffic,15-30 min,51-60,1,0.2069787234042553,0.1964838027022627,0.2050105857445307,0.1924233313289236,0.3650434126085315,0.3167848699763593,0.2929606625258799,0.2536693411843919,0.775965710562905
1430,1566,"1,571",Italy,Male,Upper secondary (high school or similar);,Campania,unemployed,Not Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,2,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,No,No,No,No,No,Yes,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,3-5 KM,9,Probably more acceptable to pay for less congestion,less than 15 min,41-50,1,0.2069787234042553,0.2103583345422892,0.2050105857445307,0.1833333333333333,0.2870708546384222,0.299515106303618,0.2929606625258799,0.2407468000703327,0.6933629232837102
1433,1569,"1,574",Sweden,Female,Upper secondary (high school or similar);,Norra Mellansverige,teacher/lecturer,Employed,three,lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Probably not,Yes,Yes I'm already client of a car sharing service,Yes,No,Yes,No,No,No,No,No,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,Two,21-30 KM,7,Probably more acceptable to limit road traffic,15-30 min,21-30,2,0.2069787234042553,0.1964838027022627,0.1986692015209125,0.2346829640947288,0.1444071809035312,0.1982758620689655,0.1263736263736263,0.1865530515811832,0.3469484960592452
1435,1571,"1,576",Croatia,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Medimurska zupanija,unemployed,Not Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Not served by public transport,Yes,2,Certainly yes,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,One,11-20 KM,9,Definitely more acceptable to limit road traffic,30-60 min,21-30,1,0.2290959252971137,0.2103583345422892,0.2050105857445307,0.2346829640947288,0.3650434126085315,0.299515106303618,0.2760416666666667,0.259963999322497,0.8162020930659917
1436,1572,"1,577",Slovakia,Female,Upper secondary (high school or similar);,BratislavskÃ½ kraj,storekeeper/tradesman/craftsman,Employed,two,lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,No,0,Probably yes,No,"No, I would not be interested in this service",No,No,No,No,No,No,Yes,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,3-5 KM,8,Probably more acceptable to limit road traffic,less than 15 min,21-30,0,0.2069787234042553,0.1964838027022627,0.2227912932138284,0.2346829640947288,0.2870708546384222,0.2356572258533043,0.2243303571428571,0.2297136030070941,0.6228371016221639
1438,1575,"1,580",Czech Republic,Female,Lower secondary (upper elementary school or similar);,SeverovÃ½chod,manual worker/agricultural worker/farmer,Employed,three,higher middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Not served by public transport,Yes,1,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,3-5 KM,7,Definitely more acceptable to limit road traffic,less than 15 min,31-40,1,0.178237650200267,0.2489236790606653,0.2166193181818181,0.2217081850533807,0.2027115108851518,0.1982758620689655,0.2184782608695652,0.212136352331402,0.5104807248304781
1440,1577,"1,582",Poland,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Slaskie,manual worker/agricultural worker/farmer,Employed,two,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,1,Certainly not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,Yes,No,No,Yes,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,11-20 KM,4,Probably more acceptable to limit road traffic,15-30 min,31-40,1,0.2290959252971137,0.1964838027022627,0.2166193181818181,0.2217081850533807,0.1095890410958904,0.1632140615191462,0.3314855875831485,0.2097422744903943,0.4951774264400839
1448,1586,"1,591",Italy,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Veneto,office worker,Employed,four,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,3,Certainly yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,No,No,Yes,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,3-5 KM,9,Definitely more acceptable to limit road traffic,less than 15 min,21-30,1,0.2290959252971137,0.2103583345422892,0.1989212513484358,0.2346829640947288,0.3650434126085315,0.299515106303618,0.2929606625258799,0.2615110938172282,0.8260913490815953
1450,1588,"1,593",Lithuania,Male,Upper secondary (high school or similar);,Kauno apskritis,other employed worker,Employed,more than five,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Difficult to reach with public transport,Yes,2,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,3-5 KM,7,No preferences,less than 15 min,41-50,1,0.2069787234042553,0.2103583345422892,0.1921047488762947,0.1833333333333333,0.2027115108851518,0.1982758620689655,0.1442307692307692,0.1911418974772941,0.3762810753149666
1462,1603,"1,608",Slovakia,Male,"Tertiary and higher (University degree, PhD or similar degrees).",BratislavskÃ½ kraj,unemployed,Not Employed,three,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,1,Maybe yes maybe not,No,"No, I would not be interested in this service",No,No,Yes,No,No,No,Yes,No,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,One,11-20 KM,8,Definitely more acceptable to limit road traffic,30-60 min,51-60,0,0.2290959252971137,0.2103583345422892,0.2050105857445307,0.1924233313289236,0.2027115108851518,0.2356572258533043,0.2243303571428571,0.2142267529705958,0.5238428737920133
1467,1609,"1,614",Croatia,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Grad Zagreb,middle manager,Employed,three,lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,2,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,No,No,No,No,No,No,Â…It is outside an urban area,Make this trip every day/ every working day of the week,One,11-20 KM,7,Probably more acceptable to pay for less congestion,15-30 min,21-30,1,0.2290959252971137,0.1964838027022627,0.2343283582089552,0.2346829640947288,0.2870708546384222,0.1982758620689655,0.2760416666666667,0.2365684905253021,0.666654552887481
1468,1610,"1,615",Latvia,Male,Upper secondary (high school or similar);,Kurzeme,other self-employed worker,Employed,five,higher middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,4,Don't know/no answer,No,Yes and I would give up one car I currently own,No,Yes,Yes,No,No,No,No,No,No,Â…It is outside an urban area,Make this trip every day/ every working day of the week,Don't know/ No answer,31-50 KM,3,No preferences,15-30 min,41-50,2,0.2069787234042553,0.2489236790606653,0.2632293080054274,0.1833333333333333,0.0925449871465295,0.1602300739523418,0.1661272923408845,0.1887667710347767,0.3610989170567114
1473,1615,"1,620",Great Britain,Female,Upper secondary (high school or similar);,Bedfordshire and Hertfordshire,middle manager,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Maybe yes maybe not,Yes,"No, I would not be interested in this service",No,No,Yes,No,Yes,Yes,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Three,31-50 KM,3,No preferences,60-90 min,41-50,0,0.2069787234042553,0.2103583345422892,0.2343283582089552,0.1833333333333333,0.2027115108851518,0.1602300739523418,0.1321776814734561,0.190016859399969,0.3690896661205953
1475,1618,"1,623",Spain,Female,"Tertiary and higher (University degree, PhD or similar degrees).",CataluÃ±a,other employed worker,Employed,one  (myself),lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Relatively served by public transport,Yes,1,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,Yes,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,21-30 KM,9,Probably more acceptable to pay for less congestion,30-60 min,21-30,1,0.2290959252971137,0.1964838027022627,0.1921047488762947,0.2346829640947288,0.2870708546384222,0.299515106303618,0.2458158995815899,0.2406813287848614,0.6929444211780527
1476,1619,"1,624",Slovakia,Male,Upper secondary (high school or similar);,Nitriansky kraj,retired,Not Employed,four,lower middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,0,Certainly yes,Yes,Yes without any influence on my car ownership,Yes,Yes,No,No,Yes,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,More than three,3-5 KM,8,Definitely more acceptable to limit road traffic,60-90 min,51-60,2,0.2069787234042553,0.1964838027022627,0.1685082872928177,0.1924233313289236,0.3650434126085315,0.2356572258533043,0.2243303571428571,0.2270607343332789,0.6058795740887912
1479,1622,"1,627",Hungary,Female,Upper secondary (high school or similar);,KÃ¶zÃ©p-DunÃ¡ntÃºl,unemployed,Not Employed,four,lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,1,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,No,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,Don't know/ No answer,less than 3 KM,8,No preferences,less than 15 min,31-40,1,0.2069787234042553,0.1964838027022627,0.2050105857445307,0.2217081850533807,0.2027115108851518,0.2356572258533043,0.191578947368421,0.2085898544301866,0.4878109875756682
1480,1624,"1,629",Finland,Female,Upper secondary (high school or similar);,EtelÃ¤-Suomi,student,Not Employed,three,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Well served by public transport,Yes,0,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,No,No,No,Yes,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,21-30 KM,10,Probably more acceptable to limit road traffic,30-60 min,21-30,1,0.2069787234042553,0.2103583345422892,0.2434696895022178,0.2346829640947288,0.2870708546384222,0.3167848699763593,0.1876355748373102,0.2409972872850832,0.6949640744763099
1482,1626,"1,631",France,Female,Upper secondary (high school or similar);,Provence-Alpes-CÃ´te d'Azur,other employed worker,Employed,one  (myself),lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,0,Don't know/no answer,Yes,Yes without any influence on my car ownership,Yes,Yes,No,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,less than 3 KM,7,Probably more acceptable to limit road traffic,less than 15 min,21-30,2,0.2069787234042553,0.1964838027022627,0.1921047488762947,0.2346829640947288,0.0925449871465295,0.1982758620689655,0.254071661237785,0.1964489642186888,0.4102046280625739
1486,1630,"1,635",Poland,Female,Upper secondary (high school or similar);,LÃ³dzkie,unemployed,Not Employed,three,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,No,1,Certainly not,No,"No, I would not be interested in this service",Yes,No,No,Yes,No,No,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,One,21-30 KM,7,Probably more acceptable to limit road traffic,60-90 min,41-50,0,0.2069787234042553,0.2103583345422892,0.2050105857445307,0.1833333333333333,0.1095890410958904,0.1982758620689655,0.3314855875831485,0.2064330668246304,0.4740244833412697
1488,1632,"1,637",Slovakia,Female,Upper secondary (high school or similar);,ZilinskÃ½ kraj,other employed worker,Employed,two,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,No,1,Probably not,No,"No, I would not be interested in this service",Yes,Yes,No,Yes,No,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,One,3-5 KM,9,No preferences,60-90 min,41-50,0,0.2069787234042553,0.2103583345422892,0.1921047488762947,0.1833333333333333,0.1444071809035312,0.299515106303618,0.2243303571428571,0.2087182549294541,0.4886317424901947
1490,1635,"1,640",Portugal,Female,Upper secondary (high school or similar);,Lisboa,manual worker/agricultural worker/farmer,Employed,two,low,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Relatively served by public transport,No,0,Probably not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,Yes,Yes,No,No,No,Â…It is outside an urban area,Make this trip every day/ every working day of the week,Two,3-5 KM,8,Probably more acceptable to pay for less congestion,30-60 min,21-30,1,0.2069787234042553,0.1823809523809524,0.2166193181818181,0.2346829640947288,0.1444071809035312,0.2356572258533043,0.2780040733197556,0.2141043483054779,0.5230604451330159
1499,1645,"1,650",Romania,Male,Upper secondary (high school or similar);,Vest,manual worker/agricultural worker/farmer,Employed,two,lower middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,1,Maybe yes maybe not,No,"No, I would not be interested in this service",No,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,8,Probably more acceptable to limit road traffic,30-60 min,31-40,0,0.2069787234042553,0.1964838027022627,0.2166193181818181,0.2217081850533807,0.2027115108851518,0.2356572258533043,0.2813807531380753,0.2230770741740355,0.5804154312532479
